ticker,sector,industry,pe_ratio,forward_pe,pb_ratio,ps_ratio,peg_ratio,ev_ebitda,profit_margin,operating_margin,gross_margin,roe,roa,revenue_growth,earnings_growth,debt_equity,current_ratio,quick_ratio,market_cap,beta,dividend_yield,payout_ratio,analyst_upside,num_analysts,recommendation,value_score,growth_score,quality_score,pe_ratio_rank,pb_ratio_rank,analyst_upside_rank,revenue_growth_rank,earnings_growth_rank,roe_rank,profit_margin_rank,current_ratio_rank,fundamental_composite,fundamental_rank
ASML,Technology,Semiconductor Equipment & Materials,37.75954,35.376797,18.688696,12.999188,,33.759,0.29378,0.32841998,0.52711,0.53852004,0.16155,0.007,0.038,14.24,1.308,0.604,418729852928,1.355,0.69,0.2672,-0.009271313230563849,13,buy,0.23636363636363641,0.10167464114832536,0.5959595959595959,0.30000000000000004,0.31818181818181823,0.09090909090909091,0.045454545454545456,0.15789473684210525,0.8181818181818182,0.6363636363636364,0.3333333333333333,0.29710127591706537,20.0
BAC,Financial Services,Banks - Diversified,15.109289,12.678834,1.4571421,4.0376973,,,0.29224002,0.35292998,0.0,0.09871,0.00881,0.126,0.315,,,,409604194304,1.304,2.02,0.28959998,0.07858643761301987,24,buy,0.756060606060606,0.49043062200956933,0.4545454545454546,0.95,0.9090909090909091,0.4090909090909091,0.45454545454545453,0.5263157894736842,0.3181818181818182,0.5909090909090909,,0.5726355661881977,8.0
META,Communication Services,Internet Content & Information,29.496681,22.115065,8.655885,8.8647785,,16.94,0.30892,0.40075,0.82013,0.32643002,0.18013,0.262,-0.826,26.311,1.978,1.671,1679503261696,1.273,0.32,0.091800004,0.25636321342277846,59,strong_buy,0.6272727272727273,0.43540669856459335,0.7138047138047138,0.7,0.5454545454545454,0.6363636363636364,0.8181818181818182,0.05263157894736842,0.6363636363636364,0.7272727272727273,0.7777777777777778,0.5860792131844763,7.0
NVDA,Technology,Semiconductors,46.214516,24.736967,38.260178,24.350487,,40.143,0.53007,0.63168997,0.7005,1.07359,0.53528,0.625,0.667,9.102,4.468,3.605,4556998574080,2.284,0.02,0.0099,0.35181851889844884,57,strong_buy,0.4151515151515152,0.9210526315789473,0.9848484848484849,0.19999999999999996,0.09090909090909094,0.9545454545454546,1.0,0.8421052631578947,0.9545454545454546,1.0,1.0,0.7631259968102073,1.0
JPM,Financial Services,Banks - Diversified,15.987203,15.24638,2.584421,5.3101416,,,0.347,0.43708,0.0,0.16437,0.01323,0.088,0.16,,,,888009654272,1.075,1.85,0.2749,0.018356482520828,23,buy,0.6166666666666666,0.2942583732057416,0.6363636363636364,0.85,0.7727272727272727,0.22727272727272727,0.2727272727272727,0.3157894736842105,0.45454545454545453,0.8181818181818182,,0.5097328548644338,11.0
WFC,Financial Services,Banks - Diversified,15.508237,13.573059,1.8014889,3.813688,,,0.26629,0.33717,0.0,0.115200005,0.01064,0.075,0.169,,,,301555941376,1.108,1.9,0.2718,0.01759887395761406,24,buy,0.6333333333333334,0.2523923444976076,0.4318181818181818,0.9,0.8181818181818181,0.18181818181818182,0.13636363636363635,0.3684210526315789,0.36363636363636365,0.5,,0.43954944178628386,19.0
ADBE,Technology,Software - Application,21.152693,13.416944,12.673555,6.3043737,,15.424,0.29997,0.36503,0.89268,0.55426,0.18221001,0.105,0.172,57.197,0.996,0.876,149848653824,1.54,,0.0,0.21999920736022638,36,buy,0.5681818181818182,0.36961722488038273,0.5892255892255892,0.75,0.40909090909090906,0.5454545454545454,0.3181818181818182,0.42105263157894735,0.8636363636363636,0.6818181818181818,0.2222222222222222,0.5049973418394471,12.0
TSLA,Consumer Cyclical,Auto Manufacturers,313.3687,207.76952,19.14756,16.020048,,139.447,0.05314,0.06628,0.17006999,0.06791,0.0235,0.116,-0.371,17.082,2.066,1.486,1532045295616,1.878,,0.0,-0.13350859216935995,40,hold,0.1075757575757576,0.2458133971291866,0.41414141414141414,0.050000000000000044,0.2272727272727273,0.045454545454545456,0.38636363636363635,0.10526315789473684,0.22727272727272727,0.18181818181818182,0.8333333333333334,0.2479286283891547,21.0
AVGO,Technology,Semiconductors,73.29645,25.076048,5.928471,26.055593,,4.942,0.36198002,0.31765,0.77325994,0.31048,0.09788,0.164,1.881,166.032,1.705,1.53,1664613744640,1.204,0.74,0.4948,0.30109658492124547,43,strong_buy,0.5348484848484848,0.8181818181818181,0.6885521885521886,0.15000000000000002,0.6363636363636364,0.8181818181818182,0.6363636363636364,1.0,0.5454545454545454,0.9090909090909091,0.6111111111111112,0.6801262626262625,2.0
SNOW,Technology,Software - Application,,136.7908,35.811546,17.418047,,-61.28,-0.30764,-0.27164,0.67243,-0.53093,-0.10469,0.287,,125.912,1.367,1.275,76408127488,1.092,,0.0,0.2697758470116669,47,buy,0.40909090909090906,0.8636363636363636,0.17845117845117844,,0.13636363636363635,0.6818181818181818,0.8636363636363636,,0.045454545454545456,0.045454545454545456,0.4444444444444444,0.498989898989899,13.0
MSFT,Technology,Software - Infrastructure,34.607243,25.998299,9.976863,12.327471,,21.862,0.35707,0.48873,0.68764,0.32241002,0.14656,0.184,0.127,33.154,1.401,1.254,3621958975488,1.07,0.75,0.2361,0.2775548669115684,53,strong_buy,0.5606060606060607,0.49521531100478466,0.6515151515151515,0.5,0.4545454545454546,0.7272727272727273,0.7272727272727273,0.2631578947368421,0.5909090909090909,0.8636363636363636,0.5,0.5649920255183413,9.0
TSM,Technology,Semiconductors,31.534374,23.79562,49.33072,0.43236762,,2.463,0.43287,0.50578,0.58976,0.34657001,0.16629,0.303,0.391,20.436,2.693,2.397,1570110570496,1.267,1.12,0.29790002,0.13821996498530043,15,none,0.36666666666666664,0.8229665071770335,0.8602693602693602,0.6,0.045454545454545414,0.45454545454545453,0.9090909090909091,0.7368421052631579,0.6818181818181818,0.9545454545454546,0.9444444444444444,0.6744524189261031,3.0
